review,result
Tempat nya bagus..sejuk..cocok untuk berrekreasi bersama keluarga,positive
"""View terbaik disini nih pas di pinggiran tebing menurutku karena kita bakalan disuguhi pemandangan alam yang cerah banget. Fix, ini bakalan tambah mantap kalau dateng pas malem viewnya bakalan lebih bagus karena tambahan lampu-lampu.",positive
,positive
"Agak kurang puas foto2 disini karena yang bagian pohon pinus itu kan rimbun banget, jadi hasil foto bakalan gelap gak keliatan yang tp gapapa masih ada vsco wkwkw""",negative
Bagus tempatnya cuman ngantri kalau mau foto kalau buru2 jadi ndak nyaman mungkin pas weekend hehehe,negative
"Spot foto yg bagus, ada jasa foto yang humble dan murah tapi bukan murahan.  Keren👍🏼 …",positive
"Lokasi cukup mudah dijangkau. Parkir untuk kendaraan bermotor cukup luas. Tempatnya bagus, nyaman, dan sejuk. Tersedia berbagai spot foto baik berbayar maupun gratis. Banyak spot untuk duduk bersama. Tempat cukup bersih, kecuali di area pinggir pinggir dekat semak semak sampah berserakan. Secara keseluruhan sip",positive
"""Sambutan didepan bagus, prokes ketat ,",positive
"Didalam masih terlihat alami walau ada penambahan² spot foto, karena jarak spot foto satu dan yg lainnya lumayan jauh",positive
Jadi masih terlihat hutan pinusnya,neutral
"View makin ke atas makin keren...""",positive
Hutannya bersih dan luas. Pemandangannya bagus banget. Akan lebih bagus saat sore atau malam hari. Banyak spot foto. Tiket masuk hanya 3000 rupiah. Parkiran luas. Harga makanan di warung standar. Ada musala.,positive
"""Tempatnya bagus. Parkir luas. Ada beberapa spot foto yg rusak, semoga segera diperbaiki.",positive
,positive
"- salam lestari dari """"team Wijayakusuma parfum depan polres Wonosari"""" -""",neutral
"""Kami berkunjung pertama kali disiang hari, udara panas tidak terasa karena banyaknya pohon pinus.",positive
Parkir mobil juga sejuk dan perjalanan ke obyek wisata dari parkiran juga tidak jauh,positive
,positive
"Spot foto yang instagramable sangat banyak, salut buat kreativitas pokdarwis setempat..ide2nya bagus.",positive
,positive
"Sebenarnya tempat ini akan lebih indah bila Anda kunjungi pada malam hari, karena sudah disedikan flash light khusus untuk spot-spot foto dan bonusnya adalah temaram kota Jogja dimalam hari.",positive
,positive
"Sayangnya toiletnya masih kurang banyak dan agak jauh, jadi kalao kebelet harus lari2 naik turun bukit.",negative
,positive
"Kebersihan area sudah oke, tapi masih banyak pengunjung yang buang sampah sembarangan, mungkin perlu ditambahi lagi tempat sampah dan papan pengumuman untuk jangan buang sampah sembarangan.""",negative
"Tempatnya lumayan bagus, alternatif wisata selain pantai selatan. Atau bisa juga dijadikan ampiran setelah/sebelum wisata ke pantai selatan",positive
"""Salah wisata alam hutan pinus yang creatif karena pinter membuat kemasan Instagramable dan facebookable, momen yg bagus sore ke malam, dengan masing-masing waktu punya kelebihan sendiri. Cocok untuk membawa keluarga, sambil menikmati alam.",positive
"Tiket masuk yang murah dan terjangkau. Bisa memperkenalkan alam di yogyakarta ke masyarakat lain. Maju terus 😁👍🏼💪🏼""",positive
"Obyek wisata nya bagus, tiket masuk murah, hanya saja spot ddi dalam mash ada yg dikenai tarif lagi, dan spot foto di kelola untuk jasa foto berbayar. Best view di sore dan petang hari",positive
"Spot foto banyak plus bagus"".. tiket masuk 3000 per orang.. parkir luas.. lengkap dg wrung makan, toilet dan mushola.. bagus kalau malam hari ya..  kalau siang ya pas cuaca mendukung ttp bagus kog🤗 …",positive
"dari kota yogyakarta, untuk kesini membutuhkan waktu kurang lebih 1 - 1,5 jam menggunakan mobil. untuk masuk ke area hutan pinusnya ada harga tiket masuk yang harus di bayar. lalu untuk beberapa spot juga harus membayar untuk foto. kalau malam hari, ada fotografer yang siap memfotokan dengan harga tiket yang telah di sepakati. viewnya bagus sekali kalau malam.",positive
"""Satu kata aja, sejuk",positive
"Dan pastinya ada spot2 foto yang bagus. Cma akunya nggak mau foto d situ, soale rame klo weekend""",positive
"lokasi 1 jam dr jogja, isinya sebenernya cuma poho pinus tp banyak spot2 yg bagus untuk berfoto ria dengan cuaca yg adem, fasilitas cukup lengkap, untuk mck perlu di tingkatkan lg, waktu terbaik untuk datang di sarankan malam krn akan lebih berwarna dan lebih indah,  ada penyewaan jeep untuk ber adventure ria dengan harga yg terjangkau dan bisa berkongsi 4 org",positive
"""Tempatnya bagus saat malam karena kita bisa melihat kota Yogyakarta dari ketinggian dengan hiasan lampu2 yang indah.",positive
Tapi kalau mau foto di tempat yg unik harus sabar antriiiii...  😞,positive
"Karena antriannya panjang kita gak foto disana deh..  Foto di bagian depan saja...""",negative
"""Pemandangan yang bagus dan asri di siang hari. Lokasinya berada di atas bukit, sekitar satu Jam dari pusat kota yogyakarta. Dibuka sampai malam, saat malam hari menawarkan pemandangan kota dengan nyala cahaya lampunya.",positive
"Saat mencoba datang di cuaca hujan, yang terlihat hanya kabut dan sorot sinar lampu hutan pinus.",neutral
"Tersedia beberapa titik untuk foto dan swafoto.""",neutral
"Sejuk tempatnya kalo mau lihat sunset sore hari bisa, pemandangan nya bagus view kota jogya apalagi kalo MLM hari bagus banget 👍👍 …",positive
"Kami sampe kesorean , , tempat nya syahdu bagus bersih terawat",positive
"""Tempatnya bagus, sejuk, alami, spot foto bagus² apalagi pas malam, ada toilet, mushola pokoknya lengkap",positive
"Cuma sayang kalo malem antri foto nya gak teratur tidak dibatasi juga fotonya, tapi tetep cocok buat yg suka wisata alam👍👍👍 …""",positive
"pemandangan bagus,  cocok buat foto-foto sunset & siluet, harga murah, bisa untuk olahraga jalan jalan. perjalanan saat mau sampai juga bagus pemandannnya.",positive
"""Hutan yang aslinya tuh gelap tapi disulap jadi tempat wisata yang menarik dan bagus, cocok buat wisata siang sore maupun malam, view sunset bagus, luas juga. Klau malam juga ramai, udah banyak hiasan lampu lampu. Jadi nggak perlu takut datang malam.",positive
,positive
"Lebih enak di akses lewat bukit bintang.""",positive
"""Siang2 kesini, ga terlalu banyak pengunjung,jadi lebih nyaman untuk foto2.",positive
Tiket masuk 3ribu/org. Tiket per spot foto 2rb/org. Ada bbrp spot foto yg bisa dicoba.,positive
"Pemandangan nya indah di siang hari,walaupun agak gersang krn kemarau.",positive
Katanya lebih spektakuler saat malam.,positive
"Jalan menuju lokasi sudah bagus,walaupun nanjak terus.",positive
"Pastikan kendaraan anda prima kondisinya""",positive
"""Salah satu destinasi wisata yg cukup terkenal di Jogja dengan pemandangan hutan pinus yg indah dan asri.",positive
Hawa sejuk dan banyak terdapat spot foto yg instagramable.,positive
"Tiket masuk cukup terjangkau, area parkir luas baik roda dua, mobil maupun bus wisata.",positive
Kamar mandi yg tersedia juga cukup bersih.,positive
Ada pendopo yg bisa disewa untuk acara berkelompok.,neutral
Terdapat warung makan dan penjual barang oleh oleh.,neutral
Petugas di sana cukup ramah ramah.,positive
Untuk spot foto dikenakan biaya tambahan per spot foto.,neutral
Akses menuju ke sini cukup mudah dan jalannya pun sudah sangat bagus.,positive
Pemandangan sepanjang perjalanan menuju pinus pengger cukup memanjakan mata.,positive
Akses menuju ke sini cukup mudah dan jalan tidak terlalu menanjak jika melalui patuk.,positive
"Jalannya pun sudah lebar sehingga bus pariwisata bisa melewatinya.""",positive
"""Kalau kesini bagusnya pas panas jangan hujan soalny becek dan jalanan tanah merah",negative
Harga tiket terjangkau bgt,positive
Banyak spot foto bagus,positive
"Tapi akses jalan ke lokasi kurang.""",negative
Overall sangat bagus dan indah . Menarik juga untuk spot fotografi dengan tarif masuk terjangkau sekitar 10.000 rupiah anda bisa menikmati pemandangan Jogja . Bisa untuk parkir bis juga . Parkir bis tarifnya 20.000,positive
"Ada mushola, ada toilet. Dan sekarang menerapkan protokol kesehatan dengan memberi fasilitas cuci tangan di pintu masuk. Di dalam juga terdapat banyak spot foto yang bagus.",positive
"Hutan pinus yang instagramable, banyak spot foto yang bagus, HTM juga ga terlalu mahal, kurangnya cuma lokasi yang agak jauh dari pusat kota. Fasilitas pendukung udah lumayan lengkap seperti toilet.",positive
"""View malam yang bagus banget. Mau foto disarang burung antriannya ok pake nomor antrian jadi adil menawan - caem pula hasilnya.",positive
30 menit untuk 3 nomor antrian. Datang jam 7 antrian baru nomor 3 tapi nomor antrian yang keluar sudah sampe nomor 20,neutral
"Tiket masuk hanya Rp. 2500""",neutral
"Bagus banget serius. Asri. Sejuk.  Cuma untuk parkiran mobil memang masih di pinggir jalan ya. Lalu parkir motor harus naik lagi deket loket. Pas kesana bertepatan dengan libur natal, tapi menurutku malah nggak terlalu ramai. Banyak spot foto yang instagram-able, bisa pilih sendiri yang mau kayak gimana. Dari jalanan utama juga nggak terlalu jauh.",positive
"Hutan Pinus Pengger, tempatnya sangat luas, banyak spot foto pun harus kuat untuk mendaki dan mengantri di spot yang bagus. Membayar biaya masuk, namun saya kurang tau karena termasuk paket tour. Apabila datang musim hujan, terutama sore hari, jangan lupa membawa payung, dan lebih berhati-hati karena cukup licin untuk mendaki ke atas. Ada fasilitas umum yanh cukup.",positive
"Sungguh wisata alam yang bagus, tempat ini memberikan sesnsasi ketenangan kepada pengunjungnya. Tempat ini cocok bagi anda yang tidak suka wisata budaya. Tempat ini memiliki penataan yang bagus dilengkapi dengan berbagai fasilitas dan pemandangan alam dari ketingggian serta sensasi hutan pinus yang menakjubkan. Fasilitas tersebut seperti berbagai kedai yang unik, berbagai macam spot foto menarik dan lain lain.",positive
"""Menurutku tempatnya enak, sejuknya lumayan. Karena masih kerasa panas terik di sini.",positive
"Yang bkin ga nyaman yang pertama adalah, jalanan di dalem daerah ini batu-batunya besar2 dan hanya disusun berdiri. Jadi kalo dibawa  jalan lebih capek. Seandainya batu-batu disana sedikit dikasih semen, kemungkinan jalan-jalan lama ga begitu capek di kaki.",negative
"Yang kedua, musik yang di pasang di tengah hutan cukup nyaring dan lagu lama yang diputar berulang-ulang kali, lumayan membuat mood jadi berantakan, karena ke sana niatnya pengen hening, rileks, jadi terlalu berisik.",negative
Kalau bisa sih di hutan hening aja gapapa.,neutral
"Di sini banyak toilet, dan bersih. Jadi jangan khawatir yang sedang dapat panggilan alam, setiap sudut ada toilet menunggu kita.",positive
"Untuk jajanan, ada di sana. Tapi untuk rincian harga kurang tau. Pas main ke sana tidak jajan, lagi kenyang ga mungkin jajan 😅.",negative
"Minusnya yang mayan ngeselin, stiap masuk spot foto harus bayar. Meski hanya 2000. Akhirnya mending duduk nyantai, daripada foto2an. Lagian fotonya rada jauh menuju jurang. Lebih bagus pakai camera DSLR dan sjenisnya.",positive
"Review tempat : suasana tempat 7/10, harga tiket dll 7/10, higienitasi toilet dan hutan 7/10, pemandangan 6/10. Standar lah. 👍""",positive
"""Izin bercerita sedikit, untuk tiket masuknya perorangan 5000 dan uang parkir 3000/ motor...",neutral
Asyik udaranya seger banget... Oh iya toilet nya bersih loh...,positive
Ada fasilitas mushollah hingga cafe didalamnya untuk menikmati makanan dan minuman...,positive
,positive
Oh iya kalau kemari jangan lupa foto di disini yaa ada menyewakan jasa foto / filenya 3000 hasilnya juga bagus banget....,positive
,positive
"Itu ajaa sih ehhehehe selamat menikmati""",positive
"""Pemandangannya bagus 😍 udaranya segar, banyak spot foto menarik",positive
"Tiketnya hanya Rp2500/orang, parkir mobil Rp5000 …""",neutral
"""Lumayan bagus tmptnya.",positive
"Hrga tiket bersahabat,mknan di sekitarny hrga standart""",positive
"adem banget, viewnya gunung bagus dan banyak spot foto sepanjang area bersih juga. tiket masuknya  bersahat dengan kantong dan butuh seharian buat menjelajah semua area sih menurutku karena spot foto terpisah pisah. siang hari aja viewnya bagus dan ku yakin sih ketika malma jauh lebih bagus",positive
"Bagus sekali pemandangannya alami, bersih, tempat sampah tersedia di banyak titik. Ada gardu-gardu buat duduk dan berteduh juga. Tempat parkir luas, banyak warung makan. Toilet umum juga ada. Cuma kalau pas hujan harus hati-hati karena tangganya licin. Tiket masuk 3ribu (12/02/2020)",positive
Tempatnya bagus untuk spot foto,positive
Tempatnya bagus untuk foto foto dengan pemandangan hutan pinus di perbukitan kota Bantul. Fasilitasnya yang perlu dibenahi terutama toilet dan juga tempat makannya harus diperbaiki lagi.,positive
Tempat yang bagus untuk melepas penat dan berfoto selfie.tempatnya di luar kota yogjakarta sekitar 2 jam perjalanan pakai mobil.,positive
"Disini pemandangannya bagus dan banyak spot foto yang bagus bagus juga . Untuk fasilitas lain seperti toilet,parkir, musollah dan lainnya sudah sangat memadai.",positive
"Tempatnya bagus, murah, cman kalau kesini jangan pas weekend karna untuk spot fotonya di jamin ngantri",positive
"Pemandangannya bagus, tapi kalau kesana pas siang2 cukup panas, jadi gampang capek buat keliling2 tapi dengan pemandangan yg bagus2 capeknya terbayar lunas 😅😅 …",positive
"Tempat wisata yang bagus untuk berburu foto yang instagramable. Karcis masuknya juga murah... Buka sampai malam dan disediakan lampu untuk menerangi spot foto ketika malam hari. Fasilitas ibadah, toilet, makan juga ada. Sayang sekali untuk spot foto yang ekstrim tidak ada penjagaannya, jd para pengunjung harus hati2... Overall tempatnya recomend lah 👍",positive
"Lokasinya lumayan mudah ditemui, tempat parkir luas. ada beberapa minimarket disekitar wisata. harga barang-barang masih normal tidak mendadak mahal. spot foto juga banyak, jalan sudah bagus. recomended lah buat foto foto instagramable.",positive
"""Cukup bagus untuk wisata di daerah guning kidul..",positive
"Bisa jadi tujuan altetnatif tidak semua area pantai saja""",positive
Bagus dan adem tempatnya.. 👏😊 …,positive
"""Pinus Pengger termasuk tujuan wisata alam dengan pemandangan dan suasana alam yang apik. Kondisi parkiran cukup luas. Untuk pengunjung tinggal membayar tiket yang tidak terlalu mahal tetapi sudah bisa menikmati alam hutan pinus yang bagus.",positive
,positive
"Untuk di daerah seputaran pinus pengger ini memang banyak tersedia tempat atau destinasi wisata yang sama, namun pinus pengger termasuk yang menyajikan banyak spot foto yang menarik.",positive
,positive
"Kebetulan saya datang di pagi menjelang siang, jadi suasana sangat sejuk dan segar. Tetapi kalau untuk foto di beberapa spot memang lebih menarik di malam hari. Pengunjung bisa mendapatkan foto yang sangat baik dengan latar lampu kota jogja. Jika siang hari tidak terlalu bagus.",positive
,positive
"Untuk spot foto tersedia banyak spot yang tersebar di area pinus pengger""",neutral
"Kudu kuat jalannn😅. Spot fotonya bagus"", tpi ngantriii yg spot tangan sampe ga jdi foto 😆. HTMnya murah. Tpi tempat parkirnya kurang luas, pinggir jln. Sempet keserempet motor yg lewat pas parkir😣 …",positive
"Tempatnya bagus recommended, instagrammable spot fotonya.. Per foto ada bayarnya juga pas di kantong, 👍 …",positive
"""Lokasi bagus, tiket murah meriah.",positive
Pemandangan kota jogja sampai pantai selatam bisa disaksikan dari sini.,positive
"Hutan pinus cocok buat santai santai bersama keluarga.""",positive
Ada jasa ft 3rb/ft. Tempatnya bagus malam hari.,positive
"Bagus tempatnya, keep it up. Tempatnya juga lagi in progress jadi kalo mau compalin udah beberapa kali gtu gtu aja wajar, karna masih dalan pengembangan. Harapanku semoga wisata pinus ini bisa lebih berkembang dan maju, soalnya kan sayang. Lebih bagus kalo ada out bondnya sih.. ini bagus untuk keluarga juga cocok untuk muda mudi yess! Untuk lanjut usia mmmm.... yang suka minum susu pasti kuat nih naik keatas nyaa 😊😊😊",positive
Untuk yang suka foto2 tempatnya bagus. Pas banget suasananya sambil minum es kelapa dan makan pentol,positive
"Spot fotonya lumayan bagus. Saran saja, akses jalan ke sana sebaiknya diperlebar, kasian bus besar susah melintas, terutama kalau papasan.",positive
"Wisata alam yang bagus, dan terdapat banyak spot foto estetik, saat malam hari bisa melihat indahnya pemandangan malam jogjakarta. Saat berkunjung kesini saya menyempatkan foto menggunakan jasa foto disini, perfoto 4K (hanya softfile)",positive
"""Bagus...",positive
Ada jasa fotgrafer murah,positive
"HtM murah cuma 5000""",positive
"""Tempat ini bagus untuk mengambil gambar...",positive
tapi kalau musim hujan...saya rasa jalan akan sedikit ekstrim.,negative
,positive
Yang berjualan Makanan juga banyak...,neutral
Suasana Sejuk dan Indah...,positive
,positive
So far... Seneng bisa berkunjung...❤,positive
"Tapi tetap berhati-hati ya...""",positive
"bagus tempatnya, cuman disayang kan 1 spot foto udah gak ada padahal itu yang favorit juga",positive
"tempat rekreasi murah, sejuk. banyak spot foto. lebih bagus kalau malam, bisa liat jogja dari atas",positive
"""Destinasi bagus buat keluarga, pasangan, atau sekedar buat makrab.",positive
"Kalo siang bisa liat pemandangan pepohonan,jalan dan sungai yang ada di bawah, saat menjelang sore bisa melihat Meg merah dengan jelas",positive
"Pas malam bagus, bisa lihat lampu"""" dari atas.",positive
"Suasana disini lumayan dingin, disarankan untuk membawa jaket""",positive
"Tempatnya pemandangannya sangat bagus , akses gampang masuknya juga cuma 10 k aja , buka sampe malem.. Cocok buat foto2 ada jasa penyewaan foto trus nnti tinggal di bluetooth ,yg jualan makanan juga banyak",positive
"Tempatnya bagus,banyak spot foto terutama yang ingin menunggu matahari terbenam,tidak rekomended untuk anak yg masih terlalu kecil atau manula,karena jalan nya naik turun dan melelahkan,tapi banyak warung untuk melepas lelah",positive
"Tempatny bagus.. adem, tempat foto2 yang bagus.. bener2 alami dan minim sentuhan modern.. tpi masih minim aktifitas selain foto2 dan berayunan..",positive
"""Bagus kalau malam hari, tetapi harus pakai kamera DSLR kalau mau hasil foto bagus.",positive
"Murah,  tiket masuknya gag sampai 10rb",positive
"Dan kalian juga bisa ngecamp disini.""",neutral
Malam masih rame..di dalam banyak warung..spot foto yg bagus sekitar 5 spot..dari pengelola ada yg moto..per foto 4000..okelah buat anak muda ato orangtua yg kekinian 😁 …,positive
"Hutan pinus pengger tempatnya mudah di jangkau kalau lewat bukit bintang nanti sudah sampai atas terus belok kanan saja wisata ini paling bagus di malam hari karena view nya langsung kota jogja yg berhias lampu""",positive
"Pemandangan pada malam hari sangatlah bagus dan indah, walaupun gelap dan hanya diterangi lampu disini tetap indah dan asri dengan pemandangan dari langit, pemandangan semua kota dijogja kelihatan dari atas sini, dan sekarang sudah banyak spot foto disini seperti ; jembatan cinta, tangan raksasa, dll oh iya disini terdapat warung2 juga jadi tidak perlu khawatir apabila kalian lapar dan haus. Kalian harus datang lebih awal supaya tidak antri dengan yang lain.",positive
"""Hutan ini berada di Kabupaten Bantul.",neutral
Karna berada di ketinggian disini udaranya sejuk kalau lagi musim angin disini angin terasa kencang sekali.,positive
Berkemah diperbolehkan disini banyak spot bagus untuk berfoto selfie.,positive
"Fasilitas yang harus diperhatikan yaitu Toilet terutama kebersihannya.""",neutral
"Emang bagus buat malam hari, tiket masuk murah tapi untuk difotoin petugas pada spot spot tertentu lumayan harga perfoto dan antrinya luar biasa",positive
"""Untuk foto-foto bagus, dan ada juga lokasi untuk berkemah nya",positive
"Tidak hanya baik dikunjungi sore hari, tapi morning view nya juga bagus karena berada diketinggian""",positive
"Tempat e bagus,nyaman,spot fotonya juga oke.",positive
"The light view is the point. Tempatnya bagus, terutama pemandangan Kota Yogya dari atas yg dilihat pada saat malam hari. Kalo mau foto, ada mas2 yg bakal fotoin dan fee nya sekitar Rp4000an per foto, dikasih soft file, difoto pake kamera DSLR/SLR.",positive
"Wisata alam yang sangat bagus, sayang sekali pas kesini siang hari, mungkin kalau malam lihat pemandangan lampu Lebih Joss.",positive
"Bagusnya Klw mw datang kesini di malam hari sangat bagus kemungkinan ,Krn saya kesini sore agak kurang spot untuk fotonya",positive
bagus sihh...tapi apakah ada penginapan yg tarifnya setandar yg deket sama lokasinya...😃😃😃 …,positive
"lega bgt bagus bgt cuma cape aja nanjaknya, parkir motor 3k masuk 5k/orang",negative
"Tempat nyaa bagus, kemarin terakhir kesana pas hujan dan agak kabut.. Mungkin kalau siang atau malam lebih keren, spot foto berbayar seikhlasnyaaa buat pembiayaan lokasi kayaknya",positive
"Bagus kl senja/ mlm hari, backgroundnya lampu kota jogja..kk siang biasa aj,",positive
"""Bagus pemandangan nya pagi dapat sejuk nya, klo bawa istri bisa jaln srkalian",positive
"Trus klo malam ada swafoto berbayar di sediakan per foto 4k""",neutral
"Lebih bagus saat malam hari, nyaman untuk melihat sunset, ada fotografer juga, banyak spot foto.",positive
Tiket masuk per orang + parkir motor sekitar 7rb saja murah meriah. Banyak spot foto yg keren2 dan itu ada yg gratis ada juga yg bayar lagi seikhlasnya aja kok. Yg bagus di beberapa sudut ada tempat sampah jadi gak bingung2 kalo mau buang sampah.  Di dalem hutannya banyak warung2 makanan. Toiletnya lumayan luas dan bersih tapi bayar 2rb.,positive
"""Jangan lupa memakai jaket waktu kesini malam hari, karena hawa sangat dingin.",positive
"Kesini malam hari bisa melihat view kota Jogja dari atas seperti melihat bintang tapi dibawah, dan itu sangat bagus sekali.",positive
Kesini sama dengan mencari ketenangan.,positive
"Banyak spot-spot foto bagus, dan ada beberapa spot yang memiliki fotografer, hanya saja mereka tidak mencantumkan dan menjelaskan harus membayar berapa untuk setiap hasil jepretan foto dan copy file sehingga ada rasa tidak enak apabila memberi ternyata nilainya kurang.""",negative
Tempatnya sudah tertata rapih dan bersih. Hanya saja beberapa bagian jalanan setapak berbatu ada sebagian batunya yang lepas jadi saya hampir jatuh & kesleo ringan. Untuk semuanya sudah bagus.,positive
"Tempat yang bagus untuk menikmati pemandangan kota jogja dimalam hari, apalagi telah disediakannya spot spot keren untuk mengamb gambar",positive
"""Banyak spot foto yang apik kalau dikunjungi malam hari. Mesti antri kalau mau foto 😁 Tempatnya luas musti siap tenaga nih kalau mau ke sini.",positive
"So far bagus lah untuk sekedar refreshing melepas rasa penat. …""",positive
"Yg suka petualang, silahkan datang ke pinus pengger yogyakarta, udaranya seger tempatnya sejuk, bagus buat selfi dan keren",positive
"Bagus hutannya tapi untuk foto foto doank, jalannya juga nanjak, jadi agak capek, kalo yang nggak suka foto foto macam saya ya kurang seru sih, sekian terimakasih",positive
"Tempat nya sangat bagus untuk spot foto, tapi sayang ramai sekali harus antri😟 tapi hasil tidak mengecewakan. Banyak lampu dari bawah membuat suasana malam semakin syahdu 🤪 …",positive
